Id Fail Leverage CumulProfit Liquid OverDueDebt WorkCap OperProfit ShortDebt GuarDebt StateLag FiscalLag InFinan Links CapStruct
147 0 1 0.02883 0.05719 0 0.0242 0.04316 0 0 240 198 0.14358 0 0.96339
148 0 1 0.52863 0.02836 0 0.68122 0.37369 0.25182 0 415 71 0.32279 0 0.34385
149 0 1 0.5237 0.2322 0 0.24807 0.19651 0.11025 0 164 135 0.11392 0 0.45127
150 0 0 0.0781 0.00709 0 0.1203 0.0466 0.3537 0 287 263 0.03503 0 0.84969
151 0 1 0.25114 0.14146 0 0.39677 0.07225 0.09851 0 186 159 -0.01192 0 0.64734
152 0 1 0.09246 0.19379 0 -0.44381 -0.0004 0 0 322 152 0.10659 0 0.6932
153 0 1 0.33225 0.0005 0 0.21764 0.16853 0.0367 0.7265 178 160 0.09805 0 0.61924
154 1 0 0.02684 0.0005 0 0.25396 0.03013 0.38094 0 194 153 0.12701 0 0.72728
155 0 1 0.29272 0.03584 0 0.52423 0.16035 0.45575 0 217 149 0.15044 0 0.65353
156 0 1 0.21178 0.00137 0 0.48861 0.04882 0.07275 0 260 167 0.0658 0 0.52525
157 0 1 0.10961 0 0 -0.00473 0.11123 0.16037 0.97796 136 129 0.14336 0 0.83137
158 0 0 0.02885 0 0 0.00699 0.0463 0.02684 0.20822 88 60 0.06537 0 0.89644
159 1 0 -0.38885 0.00106 0 0.35598 -0.31368 0.64142 0 358 172 -0.26874 0 1.257
160 1 0 0.00209 0.07446 0 0.47515 0.03153 0.51987 0.62598 262 143 0.02914 0 0.81527
161 0 1 0.03181 0.038 0 0.19295 0.05384 0.0536 0 145 130 -0.04546 0 0.7498
162 0 1 0.16363 0.09809 0 -0.02902 0.15243 0.03856 0.27612 197 153 0.01993 0 0.8136
163 0 0 -0.05119 0.00034 0 0.34238 0.04643 0.31672 0 171 146 0.06946 0 0.92983
164 1 0 0.00285 0.01247 1 0.46905 0.03569 0.12048 0 275 136 -0.14915 0 0.85363
165 0 1 0.09906 0.29528 0 0.06637 0.28466 0.25874 0 302 131 0.21919 0 0.81353
166 1 1 0.00363 0.00602 1 0.22767 0.09368 0.0918 0.15032 221 164 0.07633 0 0.90557
167 1 1 -0.01271 0.01027 0 -0.0741 0.03569 0.09852 0.52601 361 161 -0.11266 0 0.877
